Categoría;;Código;Producto;Opcion;Precio;Promoción;Stock
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-07-15t104203-425-494beb22de1b7a0e6a17210604733009-1024-1024.webp"")";4107;Energy Gel Amino CON CAF x 32 g x 12 unidades - ULTRA TECH;Manzana;16800;;6
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-07-15t104203-425-494beb22de1b7a0e6a17210604733009-1024-1024.webp"")";4108;Energy Gel Amino CON CAF x 32 g x 12 unidades - ULTRA TECH;Vainilla;16800;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/granger-pancakes-proteicos-c49943cdf3618931af17598806689802-1024-1024.webp"")";3771;Pancakes 400g - GRANGER;Chocolate;9750;;102
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/granger-pancakes-proteicos-c49943cdf3618931af17598806689802-1024-1024.webp"")";3770;Pancakes 400g - GRANGER;Vainilla;9750;;79
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/barritas-proteicas-chocolate-blanco-negro-12-u1-236abc538f9746d64416714987850872-1024-1024.webp"")";3998;Barritas proteicas Chocolate 12 U - QUE LO PALEÓ;Chocolate Blanco;15670;;13
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/barritas-proteicas-chocolate-blanco-negro-12-u1-236abc538f9746d64416714987850872-1024-1024.webp"")";1004;Barritas proteicas Chocolate 12 U - QUE LO PALEÓ;Chocolate Negro;15670;;26
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/5387607086140509/1774886851577-diseosinttulo-2026-03-30t125715.427.png"")";5196;RECOVERY DRINK 900G DOYPACK - NUTREMAX;Ananá;17500;;17
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/5387607086140509/1774886847512-diseosinttulo-2026-03-30t125733.290.png"")";5195;RECOVERY DRINK 900G DOYPACK - NUTREMAX;Naranja;17500;;5
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/whey-protein-2-lb1-21173219fe2e3bd10d16711180802088-1024-1024.webp"")";3942;Whey Protein 2 LB - ULTRA TECH;Banana;48300;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/whey-protein-2-lb1-21173219fe2e3bd10d16711180802088-1024-1024.webp"")";676;Whey Protein 2 LB - ULTRA TECH;Chocolate;48300;;18
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/whey-protein-2-lb1-21173219fe2e3bd10d16711180802088-1024-1024.webp"")";3943;Whey Protein 2 LB - ULTRA TECH;Coco;48300;;4
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/whey-protein-2-lb1-21173219fe2e3bd10d16711180802088-1024-1024.webp"")";558;Whey Protein 2 LB - ULTRA TECH;Dulce de leche;48300;;3
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/whey-protein-2-lb1-21173219fe2e3bd10d16711180802088-1024-1024.webp"")";3836;Whey Protein 2 LB - ULTRA TECH;Durazno;48300;;2
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/whey-protein-2-lb1-21173219fe2e3bd10d16711180802088-1024-1024.webp"")";678;Whey Protein 2 LB - ULTRA TECH;Frutilla;48300;;9
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/whey-protein-2-lb1-21173219fe2e3bd10d16711180802088-1024-1024.webp"")";677;Whey Protein 2 LB - ULTRA TECH;Vainilla;48300;;15
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/combo-gel-energy-cafeina-12-u1-11ddb3db206ec6a8af17418993150115-1024-1024.webp"")";4520;Gel Energy Cafeína caja X12 - Mervick;Frutos Rojos;11284;;77
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/combo-gel-energy-cafeina-12-u1-11ddb3db206ec6a8af17418993150115-1024-1024.webp"")";4521;Gel Energy Cafeína caja X12 - Mervick;Limon;11284;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/combo-gel-energy-cafeina-12-u1-11ddb3db206ec6a8af17418993150115-1024-1024.webp"")";1010;Gel Energy Cafeína caja X12 - Mervick;Manzana verde;11284;;51
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/combo-gel-energy-cafeina-12-u1-11ddb3db206ec6a8af17418993150115-1024-1024.webp"")";4522;Gel Energy Cafeína caja X12 - Mervick;Naranja;11284;;34
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2025-07-23t134710-494-23863fd45db76915b417532892408647-1024-1024.webp"")";92000;WHEY PROTEIN 7900 - AFA - DOYPACK 1KG - GENTECH;Banana;40927;;0
